id,gel_num,gel_name,gel_hex,manufacturer_id
559,L286,One and a Half CTO,#FFB464,3
560,L204,Full CTO,#FAC387,3
561,L441,Full CT Straw,#FAC084,3
562,L744,Dirty White,#F8C882,3
563,L285,Three Quarter CTO,#FCCD94,3
564,L236,HMI (to Tungsten),#FAC795,3
565,L604,Full CT Eight Five,#FFC295,3
566,L651,HI Sodium,#FF9B5F,3
567,L17,Surprise Peach,#E68C64,3
568,L134,Golden Amber,#FAA873,3
569,L147,Apricot,#FCB98C,3
570,L776,Nectarine,#FCBE9B,3
571,L773,Cardbox Amber,#FCC5B2,3
572,L108,English Rose,#FCBEA9,3
573,L8,Dark Salmon,#FC9B80,3
574,L779,Bastard Pink,#FC9885,3
575,L158,Deep Orange,#FF8700,3
576,L21,Gold Amber,#FF8C32,3
577,L778,Millennium Gold,#FF7600,3
578,L780,AS Golden Amber,#FF6F00,3
579,L22,Dark Amber,#FF6900,3
580,L135,Deep Golden Amber,#FF5F00,3
581,L781,Terry Red,#FF5000,3
582,L25,Sunset Red,#FF6E46,3
583,L507,Madge,#F85000,3
584,L19,Fire,#FF4600,3
585,L164,Flame Red,#FF3200,3
586,L182,Light Red,#F50000,3
587,L106,Primary Red,#F00032,3
588,L789,Blood Red,#AA3C32,3
589,L787,Marius Red,#B9003C,3
590,L27,Medium Red,#C8003C,3
591,L29,Plasa Red,#E1003C,3
592,L26,Bright Red,#E6003C,3
593,L24,Scarlet,#FF5A64,3
594,L157,Pink,#FF92A3,3
595,L107,Light Rose,#FFA5AF,3
596,L109,Light Salmon,#FFB2AF,3
597,L176,Loving Amber,#FFAAA0,3
598,L790,Moroccan Pink,#FFB4A5,3
599,L36,Medium Pink,#FFA0B9,3
600,L192,Flesh Pink,#FF8CB4,3
601,L111,Dark Pink,#FF8CBE,3
602,L794,Pretty 'n Pink,#FFAFDC,3
603,L2,Rose Pink,#FF78DC,3
604,L328,Follies Pink,#FF64C8,3
605,L795,Magical Magenta,#FA46C8,3
606,L128,Bright Pink,#FF50B4,3
607,L793,Vanity Fair,#FF3CA0,3
608,L332,Special Rose Pink,#FF3787,3
609,L148,Bright Rose,#FF507D,3
610,L46,Dark Magenta,#DC005A,3
611,L113,Magenta,#FF0064,3
612,L127,Smokey Pink,#E16273,3
613,L748,Seedy Pink,#E96785,3
614,L110,Middle Rose,#FFB4C8,3
615,L247,LEE Minus Green,#FAC3D7,3
616,L35,Light Pink,#FFC8D2,3
